"","Address","Phone","Hours"
"25","1400 Dogwood Street Campbell River, V9W 3A6","(250) 287-4516","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"26","24 - 935 Marine Dr North Vancouver, V7P 1S3","(604) 981-0030","Monday: 10:00am - 6:00pm|Tuesday: 10:00am - 6:00pm|Wednesday: 10:00am - 6:00pm|Thursday: 10:00am - 9:00pm|Friday: 10:00am - 9:00pm|Saturday: 9:30am - 6:00pm|Sunday: 11:00am - 6:00pm"
"27","1655 Davie St Vancouver, V6G 1W1","(604) 660-4570","Monday: 9:30am - 11:00pm|Tuesday: 9:30am - 11:00pm|Wednesday: 9:30am - 11:00pm|Thursday: 9:30am - 11:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"28","Unit G635 Columbia Avenue Castlegar, V1N 1G9","(250) 365-8543","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"29","195 - 5335 Headland Dr West Vancouver, V7W 3C6","(604) 922-8201","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"30","3611 Shelbourne St Victoria, V8P 4H1","(250) 952-4328","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"31","110 - 3150 East 54 Ave Vancouver, V5S 1Z1","(604) 660-1277","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"32","119 Chase St Chase, V0E 1M0","(250) 679-8454","Monday: 9:30am - 6:00pm|Tuesday: 9:30am - 6:00pm|Wednesday: 9:30am - 6:00pm|Thursday: 9:30am - 6:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 6:00pm|Sunday: 11:00am - 6:00pm"
"33","2592 Legion St Chemainus, V0R 1K0","(250) 246-3531","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"34","49th Ave W Chetwynd, V0C 1J0","(250) 788-2657","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00am Sunday: 11:00am - 6:00pm"
"35","46040 Yale Rd Chilliwack, V2P 7V2","(604) 795-8424","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"36","74 Young St Clearwater, V0E 1N2","(250) 674-3622","Monday: 9:30 am - 6:00 pm|Tuesday: 9:30 am - 6:00 pm|Wednesday: 9:30 am - 6:00 pm|Thursday: 9:30 am - 6:00 pm|Friday: 9:30 am - 9:00 pm|Saturday: 9:30 am - 6:00 pm"
"37","1421 Cariboo Hwy Clinton, V0K 1K0","(250) 459-2444","Monday: 10:30am - 6:00pm|Tuesday: 10:30am - 6:00pm|Wednesday: 10:30am - 6:00pm|Thursday: 10:30am - 6:00pm|Friday: 10:30am - 8:00pm|Saturday: 10:30am - 6:00pm"
"38","# 100 - 5630 176th St Surrey, V3S 4C6","(604) 574-4452","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"39","3436 Kingsway Vancouver, V5R 5L4","(604) 660-5484","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"40","1520 Commercial Dr Vancouver, V5L 3Y2","(604) 660-9088","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"41","1972 Como Lake Rd Coquitlam, V3J 3R3","(604) 931-6612","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"42","204 Port Augusta Street Comox, V9M 3N1","(250) 339-3812","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"43","1095 Cliffe Ave Courtenay, V9N 2J9","(250) 334-1333","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"44","100-425 Victoria Ave. N Cranbrook, V1C 6S3","(250) 426-1298","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"45","2 - 1000 NW Blvd Mall Creston, V0B 1G0","(250) 428-3250","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"46","2700 Dunsmuir Ave Cumberland, V0R 1S0","(250) 336-2242","Monday: 10:30 am - 6:00 pm|- *Closed 12pm-1pm|for lunch Tuesday: 10:30 am - 6:00 pm|- *Closed 12pm-1pm|for lunch Wednesday: 10:30 am - 6:00 pm|- *Closed 12pm-1pm|for lunch Thursday: 10:30 am - 6:00 pm|- *Closed 12pm-1pm|for lunch Friday: 10:30 am - 8:00 pm|Saturday: 10:30 am - 6:00 pm"
"47","1020 Alaska Ave Dawson Creek, V1G 1Y6","(250) 784-2248","Monday: 9:30 am - 9:00 pm|Tuesday: 9:30 am - 9:00 pm|Wednesday: 9:30 am - 9:00 pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"48","411 Dollarton Hwy N North Vancouver, V7G 1M9","(604) 929-2112","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"49","3453 Dunbar St Vancouver, V6S 2C3","(604) 224-4412","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"50","180 Central Road Duncan, V9L 4X3","(250) 715-2770","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"51","814 Michel Rd Elkford, V0B 1H0","(250) 865-2466","Monday: Closed Tuesday: 10:30 am - 6:00 pm|- Closed for lunch 1pm-2pm|Wednesday: 10:30 am - 6:00 pm|- Closed for lunch 1pm-2pm|Thursday: 10:30 am - 6:00 pm|- Closed for lunch 1pm-2pm|Friday: 10:30 am - 6:00 pm|Saturday: 10:30 am - 6:00 pm"
"52","119 George St Enderby, V0E 1V0","(250) 838-7308","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 7:00pm|Sunday: 11:00am - 6:00pm"
"53","100 - 132 W Esplanade North Vancouver, V7M 1A2","(604) 981-0031","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"54","1520 Fairfield Rd Victoria, V8S 1G1","(250) 952-4159","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"55","792 - 2nd Ave Fernie, V0B 1M0","(250) 423-6006","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"56","8904 - 152nd St Surrey, V3R 4E4","(604) 582-0008","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"57","9110 Glover Rd Fort Langley, V1M 2R9","(604) 888-5711","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"58","5107 Airport Dr Fort Nelson, V0C 1R0","(250) 774-6757","Monday: 9:30am - 6:00pm|Tuesday: 9:30am - 6:00pm|Wednesday: 9:30am - 6:00pm|Thursday: 9:30am - 6:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 6:00pm"
"59","161 Stuart Drive West Fort St James, V0J 1P0","(250) 996-8414","Monday: 9:30am - 6:00pm|Tuesday: 9:30am - 6:00pm|Wednesday: 9:30am - 6:00pm|Thursday: 9:30am - 6:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"60","10444 - 100th St Fort St John, V1J 3Z1","(250) 787-3405","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"61","1960 Foul Bay Rd Victoria, V8R 5A7","(250) 952-4220","Monday: 9:30am - 11:00pm|Tuesday: 9:30am - 11:00pm|Wednesday: 9:30am - 11:00pm|Thursday: 9:30am - 11:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"62","111 Chowsunket Ave Fraser Lake, V0J 1S0","(250) 699-7717","Monday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Tuesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Wednesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Thursday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Friday: 10:30am - 8:00pm|Saturday: 10:30am - 6:00pm"
"63","1952 Columbia Garden Rd Fruitvale, V0G 1L0","(250) 367-9112","Monday: 10:30am - 6:00pm|Tuesday: 10:30am - 6:00pm|Wednesday: 10:30am - 6:00pm|Thursday: 10:30am - 6:00pm|Friday: 10:30am - 8:00pm|Saturday: 10:30am - 6:00pm"
"64","548 North Road Gabriola Island, V0R 1X0","(250) 247-0271","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"65","1107 - 115 Fulford Ganges Rd Salt Spring Island, V8K 2T9","(250) 537-5441","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"66","900 Gibsons Way Gibsons, V0N 1V7","(604) 886-2013","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"67","375 Nimpkish St Gold River, V0P 1G0","(250) 283-2919","Monday: Closed Tuesday: 10:30 am - 6:00 pm|- Closed for lunch 1:30pm-2:30pm|Wednesday: 10:30 am - 6:00 pm|- Closed for lunch 1:30pm-2:30pm|Thursday: 10:30 am - 6:00 pm|- Closed for lunch 1:30pm-2:30pm|Friday: 10:30 am - 6:00 pm|- Closed for lunch 1:30pm-2:30pm|Saturday: 10:30 am - 6:00 pm|- Closed for lunch 1:30pm-2:30pm"
"68","906 10th Ave South Golden, V0A 1H0","(250) 344-7558","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"69","2955 Tillicum Rd Victoria, V9A 2A6","(250) 387-1600","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"70","451 Central Ave Grand Forks, V0H 1H0","(250) 442-5440","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"71","272 S Copper St. Greenwood, V0H 1J0","(250) 445-6336","Monday: Closed Tuesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Wednesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Thursday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Friday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Saturday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm"
"72","10355 - 152 Street Surrey, V3R 7C1","(604) 581-1511","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"73","300-22709 Lougheed Hwy Maple Ridge, V2X 2V5","(604) 463-4509","Monday: 9:30am - 6:00pm|Tuesday: 9:30am - 6:00pm|Wednesday: 9:30am - 6:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 6:00pm|Sunday: 11:00am - 6:00pm"
"74","555 W Hastings Vancouver, V6B 4N5","(604) 660-4574","Monday: 10:00 am - 6:00 pm|Tuesday: 10:00 am - 6:00 pm|Wednesday: 10:00 am - 6:00 pm|Thursday: 10:00 am - 6:00 pm|Friday: 10:00 am - 6:00 pm|Saturday: 10:00 am - 6:00 pm"
"75","4330 Field St Hazelton, V0J 1Y0","(250) 842-5424","Monday: 10:30 am - 6:00 pm|Tuesday: 10:30 am - 6:00 pm|Wednesday: 10:30 am - 6:00 pm|Thursday: 10:30 am - 6:00 pm|Friday: 10:30 am - 8:00 pm|Saturday: 10:30 am - 6:00 pm"
"76","235 - 7155 Kingsway Burnaby, V5E 2V1","(604) 660-8731","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"77","1644 Hillside Avenue Victoria, V8T 2C5","(250) 952-4033","Monday: 9:30am - 11:00pm|Tuesday: 9:30am - 11:00pm|Wednesday: 9:30am - 11:00pm|Thursday: 9:30am - 11:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"78","770 5th Ave Hope, V0X 1L0","(604) 869-5231","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"79","3232 Hwy 16 Houston, V0J 1Z0","(250) 845-7444","Monday: 9:30am - 6:00pm|Tuesday: 9:30am - 6:00pm|Wednesday: 9:30am - 6:00pm|Thursday: 9:30am - 6:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 6:00pm"
"80","10328 Gething Street Hudson Hope, V0C 1V0","(250) 783-5230","Monday: Closed Tuesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Wednesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Thursday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Friday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Saturday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm"
"81","510 - 13th St Invermere, V0A 1K0","(250) 342-4292","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"82","101 - 225 Menzies Street Victoria, V8V 2G6","(250) 953-3996","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"83","101 - 2083 Alma St Vancouver, V6R 4N6","(604) 224-9380","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
